 Lesotho,77.7,86.3,94,89.6,93.6,93.4 hhhh,93.3 hhhh,93.1 hhhh,92.9 hhhh,92.7 hhh
 Liberia,182.1,161.4,152.1,147.4,142,135.3 hhhh,128.7 hhhh,122.1 hhhh,115.5 hhhh,108.8 hhh
 Libya,17.1,7.8,6.8,6.6,6.7,6.6 hhhh,6.5 hhhh,6.4 hhhh,6.3 hhhh,6.2 hhh
 Lithuania,30.2,44.9,31.8,21.1,18.9,17.3 hhhh,15.8 hhhh,14.2 hhhh,12.6 hhhh,11.0 hhh
 Luxembourg,11.4,12.5,10.2,11.7,9.6,8.9 hhhh,8.2 hhhh,7.4 hhhh,6.7 hhhh,5.9 hhh
 Madagascar,150.7,150.2,155.1,149.5,134.3,130.7 hhhh,127.0 hhhh,123.4 hhhh,119.8 hhhh,116.2 hhh
 Malawi,194.5,164.2,166.1,158.3,156.4,152.4 hhhh,148.3 hhhh,144.3 hhhh,140.2 hhhh,136.2 hhh
 Malaysia,19.4,19,15,13,12.8,13.0 hhhh,13.1 hhhh,13.3 hhhh,13.4 hhhh,13.6 hhh
 Maldives,171.3,102.6,48.2,23.9,14.2,12.7 hhhh,11.2 hhhh,9.7 hhhh,8.2 hhhh,6.7 hhh
 Mali,194.4,196.3,190.9,186.3,178.2,177.4 hhhh,176.7 hhhh,176.0 hhhh,175.3 hhhh,174.6 hhh
 Malta,12.2,11.9,18.6,20.3,18.4,18.0 hhhh,17.7 hhhh,17.3 hhhh,17.0 hhhh,16.6 hhh
 Mauritania,109.3,106.4,101,94.3,87.6,85.8 hhhh,84.0 hhhh,82.2 hhhh,80.4 hhhh,78.6 hhh
 Mauritius,44.7,42.6,36.3,36.5,34.9,33.6 hhhh,32.3 hhhh,31.0 hhhh,29.7 hhhh,28.5 hhh
 Mexico,88.5,79.8,84.1,76.7,71.2,69.5 hhhh,67.8 hhhh,66.2 hhhh,64.5 hhhh,62.8 hhh
 Micronesia (Federated States of),53.5,48.4,44.8,34.3,25.4,23.3 hhhh,21.2 hhhh,19.2 hhhh,17.1 hhhh,15.0 hhh
 Moldova (Republic of),48.6,63.2,58.1,31,27.2,26.3 hhhh,25.4 hhhh,24.4 hhhh,23.5 hhhh,22.6 hhh
 Mongolia,33.9,38.4,31.4,21.5,19,18.4 hhhh,17.7 hhhh,17.0 hhhh,16.3 hhhh,15.7 hhh
 Montenegro,32.1,26.3,21.8,16.5,18.7,17.4 hhhh,16.1 hhhh,14.8 hhhh,13.5 hhhh,12.2 hhh
 Morocco,45.6,37.1,33.9,34,32.6,32.4 hhhh,32.2 hhhh,32.1 hhhh,31.9 hhhh,31.7 hhh
 Mozambique,179,188.9,180.6,187.4,173.6,166.8 hhhh,160.0 hhhh,153.3 hhhh,146.5 hhhh,139.7 hhh
 Myanmar,44.4,30.8,26.4,24.5,20,19.3 hhhh,18.6 hhhh,17.9 hhhh,17.2 hhhh,16.5 hhh
 Namibia,116.8,103.4,90.4,81.7,79.8,79.2 hhhh,78.6 hhhh,78.0 hhhh,77.4 hhhh,76.8 hhh
 Nepal,134.7,135.1,127.9,111,93.8,89.4 hhhh,85.1 hhhh,80.7 hhhh,76.3 hhhh,71.9 hhh
 Netherlands,6.9,7.1,6.2,7.1,5.3,5.0 hhhh,4.8 hhhh,4.5 hhhh,4.2 hhhh,4.0 hhh
 New Zealand,31.9,33.4,29.9,26.7,30.1,28.8 hhhh,27.5 hhhh,26.2 hhhh,24.9 hhhh,23.6 hhh
 Nicaragua,160.1,146.2,125.2,113.2,104.7,101.5 hhhh,98.4 hhhh,95.2 hhhh,92.0 hhhh,88.8 hhh
 Niger,221.9,222.4,220.9,217.5,213.2,211.0 hhhh,208.9 hhhh,206.7 hhhh,204.5 hhhh,202.4 hhh
